sweep_folder,De,Wi_e,feature_score,de_key,drag_model,fe_model,NK,hK_star,phi,Debar,Wiebar,phibar,Wics,Wisc,theta,tilde_eta_p0,U,Hv,sample_id,De_bar,Wi_e_bar,source_kind,dataset,R_ve,De_ve
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,3.0,0.8102494,0.7,3.0,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,0.154273183391498,1.2153741,model,clasen,0.036883167,81.33791764682246
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,10.0,0.95107733,0.7,10.0,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,0.514243944638327,1.426615995,model,clasen,0.060810063,164.44646669746092
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,30.0,1.5489935,0.7,30.0,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,1.54273183391498,2.32349025,model,clasen,0.060810063,493.33940009238273
S31_caber_sweep_De_NK_11200_hsK_0p04_phi_0p05_drag_constant,100.0,3.6845208,0.7,100.0,constant,fenepm,11200,0.04,0.05,19.4460238263634,0.666666666666667,0.00906636009588024,0.5,0.5,0.22,3,0.315381713271493,0.1418,C4,5.14243944638327,5.5267812,model,clasen,0.060810063,1644.4646669746091
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,0.01,0.17042582,0.0356553815770802,0.01,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,0.0001974242714799,0.953414377190264,model,clasen,5.5451599e-05,180.33745068379363
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,0.03,0.17042457,0.0355456260585754,0.03,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,0.0005922728144397,0.953407384306372,model,clasen,0.00016658581,180.0873675855104
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,0.1,0.17042829,0.0358616061080436,0.1,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,0.001974242714799,0.953428195128835,model,clasen,0.00055308437,180.8042414939334
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,0.3,0.17042695,0.0357507430503649,0.3,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,0.005922728144397,0.953420698757303,model,clasen,0.0016615573,180.55350844656394
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,1.0,0.17043097,0.036055274934584,1.0,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,0.01974242714799,0.9534431878719,model,clasen,0.0055165644,181.2722425573424
S36_caber_sweep_De_NK_11200_hsK_0p04_phi_0p16_drag_c2d2,3.0,0.1704295,0.0308668622764847,3.0,c2d2,fenepm,11200,0.04,0.16,50.6523332974189,0.178753146666667,0.00906636009588024,0.40699462,0.13406486,0.22,3,0.315381713271493,0.1418,C5,0.05922728144397,0.953434964240443,model,clasen,0.016572675,181.02086718046425
